STATE,AGE_ADJUSTED_RATE,COUNT,POPULATION,County,County Name,lat,lng,Ratings
AL,156.8,97,42644, Greene County (01063), Greene County ,32.9718107,-87.9334803,1.568
AL,183.7,183,74956, Hale County (01065), Hale County ,32.7859102,-87.6186379,1.837
AL,188.5,241,85543, Henry County (01067), Henry County ,31.4469377,-85.1894045,1.885
AL,176.6,1161,520674, Houston County (01069), Houston County ,31.1318686,-85.31362179999999,1.766
AL,200.5,727,261693, Jackson County (01071), Jackson County ,34.7090388,-86.0121573,2.005
AL,179.1,6943,3299356, Jefferson County (01073), Jefferson County ,33.4914122,-86.9824288,1.791
AL,193.5,207,70031, Lamar County (01075), Lamar County ,33.6923649,-88.0900762,1.935
AL,164.8,1063,463244, Lauderdale County (01077), Lauderdale County ,34.8840876,-87.658113,1.6480000000000001
AL,187.9,410,166473, Lawrence County (01079), Lawrence County ,34.567428,-87.30161319999999,1.879
AL,194.2,1298,784323, Lee County (01081), Lee County ,32.5888702,-85.39627689999999,1.942
AL,153.0,793,457994, Limestone County (01083), Limestone County ,34.78000720000001,-86.9423801,1.53
AL,201.2,139,51873, Lowndes County (01085), Lowndes County ,32.221464,-86.6611083,2.012
AL,196.3,251,96855, Macon County (01087), Macon County ,32.3731182,-85.684578,1.963
AL,156.2,3104,1767915, Madison County (01089), Madison County ,34.72397309999999,-86.49965460000001,1.5619999999999998
AL,186.2,253,98736, Marengo County (01091), Marengo County ,32.2459085,-87.77633329999999,1.8619999999999999
AL,186.6,416,150288, Marion County (01093), Marion County ,34.0441174,-87.77633329999999,1.8659999999999999
AL,180.7,1057,473985, Marshall County (01095), Marshall County ,34.3652297,-86.3376761,1.807
AL,183.7,4458,2073749, Mobile County (01097), Mobile County ,30.6082227,-88.24611829999999,1.837
AL,171.0,262,108662, Monroe County (01099), Monroe County ,31.5119068,-87.460397,1.71
AL,172.8,2164,1137114, Montgomery County (01101), Montgomery County ,32.2077447,-86.17517590000001,1.7280000000000002
AL,173.1,1297,596094, Morgan County (01103), Morgan County ,34.4240875,-86.86218269999999,1.7309999999999999
AL,178.3,113,48294, Perry County (01105), Perry County ,32.598888,-87.30161319999999,1.7830000000000001
AL,152.8,214,100855, Pickens County (01107), Pickens County ,33.3339954,-88.0900762,1.528
AL,194.8,343,167388, Pike County (01109), Pike County ,31.8395163,-86.0121573,1.9480000000000002
AL,181.9,293,112692, Randolph County (01111), Randolph County ,33.2681523,-85.52002399999999,1.819
AL,199.8,614,292417, Russell County (01113), Russell County ,32.3552497,-85.1894045,1.9980000000000002
AL,132.6,1468,1044707, Shelby County (01117), Shelby County ,33.3039292,-86.6611083,1.3259999999999998
AL,183.6,940,433645, St. Clair County (01115), St. Clair County ,33.6530112,-86.3376761,1.8359999999999999
AL,168.2,140,65631, Sumter County (01119), Sumter County ,32.6155551,-88.24611829999999,1.682
AL,189.4,976,404508, Talladega County (01121), Talladega County ,33.4231716,-86.1344697,1.8940000000000001
AL,188.5,548,203709, Tallapoosa County (01123), Tallapoosa County ,32.9201244,-85.84862360000001,1.885
AL,161.9,1617,1023240, Tuscaloosa County (01125), Tuscaloosa County ,33.3227653,-87.460397,1.619
AL,219.3,971,324520, Walker County (01127), Walker County ,33.8563605,-87.30161319999999,2.193
AL,212.8,232,83735, Washington County (01129), Washington County ,31.3422346,-88.24611829999999,2.128
AL,205.0,149,54571, Wilcox County (01131), Wilcox County ,32.0105439,-87.3413599,2.05
AL,159.7,285,119903, Winston County (01133), Winston County ,34.1690087,-87.3413599,1.597
AR,195.7,247,91604, Arkansas County (05001), Arkansas County ,34.2354138,-91.28910359999999,1.9569999999999999
AR,212.4,304,103919, Ashley County (05003), Ashley County ,33.1565939,-91.7538817,2.124
AR,187.8,782,205459, Baxter County (05005), Baxter County ,36.3261815,-92.38136209999999,1.8780000000000001
AR,157.0,2009,1261778, Benton County (05007), Benton County ,36.2661518,-94.479976,1.57
AR,184.2,489,186272, Boone County (05009), Boone County ,36.3118662,-93.0175712,1.8419999999999999
AR,208.5,162,54972, Bradley County (05011), Bradley County ,33.5081368,-92.2236667,2.085
AR,244.0,94,25928, Calhoun County (05013), Calhoun County ,33.5020885,-92.539603,2.44
AR,160.9,346,139002, Carroll County (05015), Carroll County ,36.2987495,-93.5003454,1.609
AR,232.0,190,55053, Chicot County (05017), Chicot County ,33.3419551,-91.28910359999999,2.32
AR,170.1,226,112450, Clark County (05019), Clark County ,34.0232374,-93.17796589999999,1.7009999999999998
AR,246.9,289,75940, Clay County (05021), Clay County ,36.3492244,-90.37483540000001,2.469
AR,181.2,415,126827, Cleburne County (05023), Cleburne County ,35.4605769,-92.0665197,1.8119999999999998
AR,185.3,110,41627, Cleveland County (05025), Cleveland County ,33.86580070000001,-92.2236667,1.8530000000000002
AR,177.7,269,120203, Columbia County (05027), Columbia County ,33.1285176,-93.17796589999999,1.777
AR,185.6,276,104725, Conway County (05029), Conway County ,35.2727492,-92.6983868,1.8559999999999999
AR,176.5,945,521591, Craighead County (05031), Craighead County ,35.8260959,-90.6773046,1.765
AR,188.7,704,310632, Crawford County (05033), Crawford County ,35.5762761,-94.315422,1.8869999999999998
AR,228.6,589,246470, Crittenden County (05035), Crittenden County ,35.3021443,-90.37483540000001,2.286
AR,235.2,264,85836, Cross County (05037), Cross County ,35.2998913,-90.8294002,2.352
AR,225.1,128,37871, Dallas County (05039), Dallas County ,34.0346533,-92.6983868,2.251
AR,154.0,126,60423, Desha County (05041), Desha County ,33.8773585,-91.44346900000001,1.54
AR,195.2,223,92865, Drew County (05043), Drew County ,33.5156463,-91.7538817,1.952
AR,172.5,956,606457, Faulkner County (05045), Faulkner County ,35.1035858,-92.38136209999999,1.725
AR,195.9,243,88995, Franklin County (05047), Franklin County ,35.5927966,-93.8248241,1.959
AR,189.0,201,60599, Fulton County (05049), Fulton County ,36.3797374,-91.7928402,1.89
AR,177.4,1397,489978, Garland County (05051), Garland County ,34.5559285,-93.17796589999999,1.774
AR,191.8,222,90286, Grant County (05053), Grant County ,34.2628015,-92.4208713,1.9180000000000001
AR,179.4,469,220952, Greene County (05055), Greene County ,36.1314931,-90.563609,1.794
AR,158.3,230,110776, Hempstead County (05057), Hempstead County ,33.6530112,-93.66232389999999,1.5830000000000002
AR,185.6,421,167415, Hot Spring County (05059), Hot Spring County ,34.3393795,-92.97755579999999,1.8559999999999999
AR,189.6,168,67163, Howard County (05061), Howard County ,34.1318213,-94.028678,1.896
AR,171.8,408,185523, Independence County (05063), Independence County ,35.8174139,-91.5983959,1.7180000000000002
AR,162.4,195,67608, Izard County (05065), Izard County ,36.1610924,-91.9099238,1.624
AR,226.1,258,87046, Jackson County (05067), Jackson County ,35.6479574,-91.13530200000001,2.261
AR,199.9,881,357208, Jefferson County (05069), Jefferson County ,34.227351,-91.9099238,1.999
AR,175.7,274,130643, Johnson County (05071), Johnson County ,35.6026275,-93.5003454,1.757
AR,148.4,86,35179, Lafayette County (05073), Lafayette County ,33.2511695,-93.62178019999999,1.484
AR,217.5,267,83967, Lawrence County (05075), Lawrence County ,35.9969735,-91.13530200000001,2.175
AR,184.4,117,48019, Lee County (05077), Lee County ,34.7712669,-90.8294002,1.844
AR,190.7,151,69155, Lincoln County (05079), Lincoln County ,33.9185116,-91.714958,1.9069999999999998
AR,148.0,135,62498, Little River County (05081), Little River County ,33.6808926,-94.19234000000002,1.48
AR,196.1,303,109076, Logan County (05083), Logan County ,35.2475011,-93.66232389999999,1.9609999999999999
AR,193.1,703,358086, Lonoke County (05085), Lonoke County ,34.7591647,-91.9099238,1.931
AR,189.5,201,79581, Madison County (05087), Madison County ,35.9466415,-93.66232389999999,1.895
AR,188.3,289,81912, Marion County (05089), Marion County ,36.3194702,-92.6983868,1.883
AR,188.6,493,218665, Miller County (05091), Miller County ,33.3335556,-93.86553029999999,1.886
AR,220.5,535,217614, Mississippi County (05093), Mississippi County ,35.8279728,-90.0746767,2.205
AR,279.3,161,37033, Monroe County (05095), Monroe County ,34.5918747,-91.13530200000001,2.793
AR,172.2,136,45293, Montgomery County (05097), Montgomery County ,34.5424074,-93.66232389999999,1.722
AR,205.8,128,42649, Nevada County (05099), Nevada County ,33.6621386,-93.33889169999999,2.0580000000000003
AR,185.8,122,39488, Newton County (05101), Newton County ,35.9603994,-93.17796589999999,1.858
AR,205.9,358,121875, Ouachita County (05103), Ouachita County ,33.5828512,-92.9375739,2.059
AR,196.2,144,51588, Perry County (05105), Perry County ,34.96032,-92.8976254,1.962
AR,215.8,266,97586, Phillips County (05107), Phillips County ,34.4611206,-90.86751339999999,2.158
AR,183.9,142,54487, Pike County (05109), Pike County ,34.1876975,-93.66232389999999,1.839
AR,230.7,369,120481, Poinsett County (05111), Poinsett County ,35.6078586,-90.6393702,2.307
AR,195.7,305,101113, Polk County (05113), Polk County ,34.5268097,-94.15137639999999,1.9569999999999999
AR,184.1,662,316802, Pope County (05115), Pope County ,35.440627,-93.0175712,1.841
AR,179.1,119,41518, Prairie County (05117), Prairie County ,34.7636336,-91.5983959,1.791
AR,170.5,3738,1966179, Pulaski County (05119), Pulaski County ,34.75386150000001,-92.2236667,1.705
AR,203.3,257,87693, Randolph County (05121), Randolph County ,36.3457918,-90.9820668,2.033
AR,171.8,1235,581961, Saline County (05125), Saline County ,34.5708215,-92.539603,1.7180000000000002
AR,187.9,144,52803, Scott County (05127), Scott County ,34.8854732,-93.9878427,1.879
AR,189.1,134,39644, Searcy County (05129), Searcy County ,35.9721,-92.6983868,1.891
AR,179.6,1324,636765, Sebastian County (05131), Sebastian County ,35.2260397,-94.315422,1.796
AR,169.9,156,86197, Sevier County (05133), Sevier County ,34.0346222,-94.27436279999999,1.699
AR,189.5,277,84892, Sharp County (05135), Sharp County ,36.16759740000001,-91.44346900000001,1.895
AR,176.9,275,133542, St. Francis County (05123), St. Francis County ,34.9926533,-90.7152749,1.7690000000000001
AR,177.3,196,62197, Stone County (05137), Stone County ,35.8075142,-92.2236667,1.7730000000000001
AR,223.7,587,200142, Union County (05139), Union County ,33.1431092,-92.539603,2.237
AR,155.2,237,83775, Van Buren County (05141), Van Buren County ,35.6266232,-92.539603,1.5519999999999998
AR,158.0,1565,1121696, Washington County (05143), Washington County ,35.9307703,-94.15137639999999,1.58
AR,192.7,884,393845, White County (05145), White County ,35.2900612,-91.7538817,1.9269999999999998
AR,213.5,113,33842, Woodruff County (05147), Woodruff County ,35.1215846,-91.13530200000001,2.135
AR,192.4,265,108155, Yell County (05149), Yell County ,35.0810824,-93.33889169999999,1.9240000000000002
AZ,127.1,481,358131, Apache County (04001), Apache County ,35.5313224,-109.3783206,1.271
AZ,159.5,1472,634234, Cochise County (04003), Cochise County ,31.82845799999999,-109.949686,1.595
AZ,121.8,745,694942, Coconino County (04005), Coconino County ,35.6647545,-111.4752851,1.218
AZ,151.8,743,266131, Gila County (04007), Gila County ,33.6370567,-110.5215459,1.518
AZ,146.1,275,188775, Graham County (04009), Graham County ,33.076805,-109.7591675,1.4609999999999999
AZ,135.9,61,46943, Greenlee County (04011), Greenlee County ,33.2405598,-109.2831531,1.359
AZ,132.3,289,102940, La Paz County (04012) - 1994+, La Paz County ,34.0061091,-113.9536466,1.3230000000000002
AZ,139.6,31764,20877759, Maricopa County (04013), Maricopa County ,33.2917968,-112.4291464,1.396
AZ,187.6,3634,1023928, Mohave County (04015), Mohave County ,35.2143346,-113.7632828,1.876
AZ,137.1,872,540224, Navajo County (04017), Navajo County ,35.4019765,-110.1402594,1.371
AZ,140.4,9528,5056975, Pima County (04019), Pima County ,32.057499,-111.6660725,1.4040000000000001
AZ,130.5,3403,2037121, Pinal County (04021), Pinal County ,32.8162061,-111.2845025,1.305
AZ,121.1,336,233400, Santa Cruz County (04023), Santa Cruz County ,31.5986127,-110.8076084,1.2109999999999999
AZ,156.2,3363,1105656, Yavapai County (04025), Yavapai County ,34.6463981,-112.4291464,1.5619999999999998
AZ,114.0,1496,1029604, Yuma County (04027) - 1994+, Yuma County ,32.6527533,-113.9536466,1.14
CA,134.9,11470,8131992, Alameda County (06001), Alameda County ,37.6016892,-121.7195459,1.349
CA,148.9,509,186389, Amador County (06005), Amador County ,38.3488921,-120.7740931,1.489
CA,167.6,2469,1125782, Butte County (06007), Butte County ,39.6253952,-121.5370003,1.676
CA,152.3,622,225235, Calaveras County (06009), Calaveras County ,38.1960477,-120.6805037,1.5230000000000001
CA,136.4,157,106960, Colusa County (06011), Colusa County ,39.1040645,-122.2653887,1.364
CA,139.3,9043,5609779, Contra Costa County (06013), Contra Costa County ,37.8534093,-121.9017954,1.393
CA,164.7,290,137111, Del Norte County (06015), Del Norte County ,41.7076287,-123.9659708,1.6469999999999998
CA,139.6,1827,924122, El Dorado County (06017), El Dorado County ,38.74263759999999,-120.4357631,1.396
CA,145.0,6516,4848280, Fresno County (06019), Fresno County ,36.9858984,-119.2320784,1.45
CA,164.7,269,139266, Glenn County (06021), Glenn County ,39.6437813,-122.4467238,1.6469999999999998
CA,167.0,1384,676876, Humboldt County (06023), Humboldt County ,40.7450055,-123.8695086,1.67
CA,127.4,1097,895859, Imperial County (06025), Imperial County ,33.0113694,-115.4733554,1.274
CA,154.1,228,90798, Inyo County (06027), Inyo County ,36.3091865,-117.5495846,1.541
CA,156.7,5758,4381060, Kern County (06029), Kern County ,35.4937274,-118.8596804,1.567
CA,155.8,924,749423, Kings County (06031), Kings County ,36.0988489,-119.8815203,1.558
CA,189.8,936,320167, Lake County (06033), Lake County ,39.08396440000001,-122.8084496,1.8980000000000001
CA,139.3,235,157248, Lassen County (06035), Lassen County ,40.5394389,-120.7120023,1.393
CA,138.8,71886,50382849, Los Angeles County (06037), Los Angeles County ,34.0522265,-118.2436596,1.3880000000000001
CA,150.7,1166,768863, Madera County (06039), Madera County ,37.251926,-119.6962677,1.507
CA,116.6,2328,1300262, Marin County (06041), Marin County ,38.083403,-122.7633036,1.166
CA,144.5,226,88035, Mariposa County (06043), Mariposa County ,37.4893626,-119.9679294,1.445
CA,158.9,993,436581, Mendocino County (06045), Mendocino County ,39.5500194,-123.438353,1.589
CA,159.6,1832,1332809, Merced County (06047), Merced County ,37.2009788,-120.7120023,1.5959999999999999
CA,156.6,121,45060, Modoc County (06049), Modoc County ,41.4565165,-120.629366,1.5659999999999998
CA,88.5,65,70696, Mono County (06051), Mono County ,37.9218608,-118.9528645,0.885
CA,130.2,2813,2157519, Monterey County (06053), Monterey County ,36.3136201,-121.3541631,1.3019999999999998
CA,154.3,1475,702940, Napa County (06055), Napa County ,38.5024689,-122.2653887,1.5430000000000001
CA,140.7,1200,493717, Nevada County (06057), Nevada County ,39.1346666,-121.1710389,1.4069999999999998
CA,133.8,23002,15742950, Orange County (06059), Orange County ,33.7174708,-117.8311428,1.338
CA,144.7,3707,1872682, Placer County (06061), Placer County ,39.0915751,-120.8039474,1.4469999999999998
CA,163.3,278,93585, Plumas County (06063), Plumas County ,39.99268319999999,-120.8039474,1.633
CA,146.1,18138,11753713, Riverside County (06065), Riverside County ,33.9532966,-117.3961192,1.4609999999999999
CA,159.2,12503,7466890, Sacramento County (06067), Sacramento County ,38.47467,-121.3541631,1.5919999999999999
CA,128.0,375,292811, San Benito County (06069), San Benito County ,36.5760883,-120.9876321,1.28
CA,159.6,14811,10589335, San Bernardino County (06071), San Bernardino County ,34.9592083,-116.419389,1.5959999999999999
CA,146.5,25177,16382050, San Diego County (06073), San Diego County ,32.7157305,-117.1610966,1.465
CA,132.7,6862,4306754, San Francisco County (06075), San Francisco County ,37.7749295,-122.4194155,1.327
CA,161.4,5631,3610788, San Joaquin County (06077), San Joaquin County ,37.9175935,-121.1710389,1.614
CA,139.0,2658,1399014, San Luis Obispo County (06079), San Luis Obispo County ,35.3102296,-120.4357631,1.39
CA,124.1,5709,3809142, San Mateo County (06081), San Mateo County ,37.4337342,-122.4014193,1.2409999999999999
CA,137.2,3445,2206984, Santa Barbara County (06083), Santa Barbara County ,34.4208321,-119.6982057,1.3719999999999999
CA,123.5,12155,9540731, Santa Clara County (06085), Santa Clara County ,37.3336581,-121.8907041,1.235
CA,130.6,1994,1363512, Santa Cruz County (06087), Santa Cruz County ,37.0453988,-121.9579578,1.306
CA,184.7,2394,893787, Shasta County (06089), Shasta County ,40.7908864,-121.8474493,1.847
CA,113.0,36,14971, Sierra County (06091), Sierra County ,39.5532845,-120.2512728,1.13
CA,173.0,633,217510, Siskiyou County (06093), Siskiyou County ,41.7743261,-122.5770126,1.73
CA,166.6,4053,2169789, Solano County (06095), Solano County ,38.3104969,-121.9017954,1.666
CA,146.7,4866,2500887, Sonoma County (06097), Sonoma County ,38.5779555,-122.9888319,1.4669999999999999
CA,170.2,4474,2670411, Stanislaus County (06099), Stanislaus County ,37.5090711,-120.9876321,1.702
CA,150.9,834,477099, Sutter County (06101), Sutter County ,39.0219764,-121.6739371,1.5090000000000001
CA,161.8,697,315846, Tehama County (06103), Tehama County ,40.0982197,-122.174605,1.618
CA,140.8,163,65200, Trinity County (06105), Trinity County ,40.6329485,-123.0622553,1.4080000000000001
CA,141.7,2811,2289294, Tulare County (06107), Tulare County ,36.1341739,-118.8596804,1.4169999999999998
CA,156.3,726,269121, Tuolumne County (06109), Tuolumne County ,38.029655,-119.9740534,1.5630000000000002
CA,141.2,6678,4228192, Ventura County (06111), Ventura County ,34.3704884,-119.1390642,1.412
CA,145.9,1432,1060845, Yolo County (06113), Yolo County ,38.7646021,-121.9017954,1.459
CA,197.3,687,372536, Yuba County (06115), Yuba County ,39.2547027,-121.3998995,1.973
CO,152.8,2971,2443853, Adams County (08001) - 2002+, Adams County ,39.8398269,-104.1930918,1.528
CO,141.0,113,81741, Alamosa County (08003), Alamosa County ,37.654039,-105.876004,1.41
CO,131.0,3953,3140347, Arapahoe County (08005), Arapahoe County ,39.62031,-104.332644,1.31
CO,125.3,124,62993, Archuleta County (08007), Archuleta County ,37.1604318,-107.0067031,1.253
CO,156.5,52,17887, Baca County (08009), Baca County ,37.394731,-102.5298028,1.565
CO,170.7,67,28911, Bent County (08011), Bent County ,38.0036339,-103.0817903,1.7069999999999999
CO,120.1,1912,1589320, Boulder County (08013) - 2002+, Boulder County ,40.1512114,-105.5005483,1.2009999999999998
CO,135.9,431,321480, Broomfield County (08014) - 2002+, Broomfield County ,39.9205411,-105.0866504,1.359
CO,141.6,223,94151, Chaffee County (08015), Chaffee County ,38.7536679,-106.2522143,1.416
CO,144.1,20,9260, Cheyenne County (08017), Cheyenne County ,38.8002562,-102.6216211,1.4409999999999998
CO,111.2,60,46302, Clear Creek County (08019), Clear Creek County ,39.6904464,-105.6412527,1.112
CO,137.3,72,40712, Conejos County (08021), Conejos County ,37.2689711,-106.2522143,1.3730000000000002
CO,129.3,42,18152, Costilla County (08023), Costilla County ,37.2049596,-105.5005483,1.2930000000000001
CO,132.5,40,27636, Crowley County (08025), Crowley County ,38.2498631,-103.8216261,1.325
CO,139.2,61,22513, Custer County (08027), Custer County ,38.0615578,-105.3131185,1.392
CO,165.7,412,151116, Delta County (08029), Delta County ,38.8531357,-107.763621,1.6569999999999998
CO,149.9,4642,3400105, Denver County (08031), Denver County ,39.7392358,-104.990251,1.499
CO,133.6,19,10100, Dolores County (08033), Dolores County ,37.7530272,-108.5225709,1.3359999999999999
CO,113.9,1474,1606526, Douglas County (08035), Douglas County ,39.2587106,-104.9388853,1.139
CO,75.5,161,269647, Eagle County (08037), Eagle County ,39.576406,-106.7234639,0.755
CO,142.4,4514,3382229, El Paso County (08041), El Paso County ,38.9108325,-104.4723301,1.4240000000000002
CO,114.9,154,123068, Elbert County (08039), Elbert County ,39.35370040000001,-104.1930918,1.149
CO,157.6,557,233299, Fremont County (08043), Fremont County ,38.5306514,-105.5005483,1.5759999999999998
CO,127.6,341,289892, Garfield County (08045), Garfield County ,39.6584775,-107.763621,1.276
CO,119.6,38,29032, Gilpin County (08047), Gilpin County ,39.8770159,-105.4536718,1.196
CO,97.3,75,74117, Grand County (08049), Grand County ,40.0727382,-106.0640179,0.973
CO,113.7,78,81093, Gunnison County (08051), Gunnison County ,38.6437083,-107.0067031,1.137
CO,122.3,92,32490, Huerfano County (08055), Huerfano County ,37.6125984,-104.9388853,1.2229999999999999
CO,159.9,18,6809, Jackson County (08057), Jackson County ,40.6819242,-106.2522143,1.599
CO,133.0,4456,2824158, Jefferson County (08059) - 2002+, Jefferson County ,39.5800298,-105.2662931,1.33
CO,258.9,32,6865, Kiowa County (08061), Kiowa County ,38.3769671,-102.7135121,2.589
CO,123.9,69,39259, Kit Carson County (08063), Kit Carson County ,39.3844507,-102.5298028,1.239
CO,122.4,384,272483, La Plata County (08067), La Plata County ,37.2125857,-107.763621,1.224
CO,141.5,46,37364, Lake County (08065), Lake County ,39.1941167,-106.2992912,1.415
CO,132.0,2387,1656547, Larimer County (08069), Larimer County ,40.6955572,-105.5943388,1.32
CO,153.6,175,70784, Las Animas County (08071), Las Animas County ,37.2994909,-104.1001326,1.536
CO,144.8,52,27563, Lincoln County (08073), Lincoln County ,39.0457549,-103.3587288,1.4480000000000002
CO,149.4,216,108386, Logan County (08075), Logan County ,40.7056181,-102.989615,1.494
CO,149.5,1489,744096, Mesa County (08077), Mesa County ,38.9585381,-108.6175626,1.495
CO,142.2,108,65234, Moffat County (08081), Moffat County ,40.6138379,-108.2377519,1.422
CO,144.8,279,128929, Montezuma County (08083), Montezuma County ,37.3257517,-108.6175626,1.4480000000000002
CO,144.2,455,204680, Montrose County (08085), Montrose County ,38.468304,-108.1428669,1.442
